REF_Fst,CAND_Fst,GI5_Fst,LFY_Fst,FRI_Fst,weights,xCoord.S1,yCoord.S1,xCoord.S2,yCoord.S2,s1.bio_1,s1.bio_10,s1.bio_15,s1.bio_18,s1.bio_2,s1.bio_7,s2.bio_1,s2.bio_10,s2.bio_15,s2.bio_18,s2.bio_2,s2.bio_7
0.295961684,0.337304958,0.188481901,0.12463626,0.093679431,1,-1067.930875,1580.692407,1585.576093,2245.811056,1.8,15,66,234,11.9,42.7,-5.6,9.3,29,175,8.9,44.4
0.536139605,0.652850657,0.384429427,0.642279653,0.092544084,1,-1067.930875,1580.692407,1866.055322,1698.872071,1.8,15,66,234,11.9,42.7,-3.6,11.4,28,306,10.7,46.4
0.118011439,0.096369755,0.014627447,0.029515491,0.081817445,1,-1067.930875,1580.692407,-564.6831192,1514.882574,1.8,15,66,234,11.9,42.7,0.1,15.8,48,195,12.1,50.5
0.136302602,0.119168037,0.012398341,0.053742943,0.091746328,1,-1067.930875,1580.692407,-426.7698953,1216.374288,1.8,15,66,234,11.9,42.7,1.5,16.8,51,186,12,48.9
0.480848348,0.487450895,0.244704272,0.221257197,0.245779355,1,-1067.930875,1580.692407,1824.687253,1541.520674,1.8,15,66,234,11.9,42.7,-2.1,12.5,25,334,11.1,46.1
0.326023258,0.349073568,0.048272005,0.185938318,0.0351696,1,-1067.930875,1580.692407,1983.805474,1248.076615,1.8,15,66,234,11.9,42.7,2.1,15,15,302,10.8,41.6
0.276717542,0.292161385,0.109136146,0.015009966,0.174234237,1,-1067.930875,1580.692407,-3153.883063,3997.134713,1.8,15,66,234,11.9,42.7,-3.6,9.1,62,168,7.6,33.6
0.156416124,0.254889645,0.127884504,0.149995789,0.463463521,1,-1067.930875,1580.692407,-1478.058372,3049.382989,1.8,15,66,234,11.9,42.7,-5.8,14,48,141,11,53.1
0.146765781,0.187023128,0.043135202,0.171018906,0.028148076,1,-1067.930875,1580.692407,-149.4650633,1065.28304,1.8,15,66,234,11.9,42.7,3,18.5,55,219,11.7,48.7
0.205932327,0.193181994,0.024933279,0.044079937,0.034604414,1,-1067.930875,1580.692407,1255.675587,1059.596183,1.8,15,66,234,11.9,42.7,0.8,15,30,312,11.3,46.2
0.800946376,0.454349879,0.118466914,0.32174696,0.113648654,1,-1067.930875,1580.692407,2245.349458,1139.797348,1.8,15,66,234,11.9,42.7,5.2,17.2,12,257,9.2,36.8
0.164764857,0.137383891,0.031217285,0.019086896,0.113023556,1,-1067.930875,1580.692407,305.0026349,1126.635862,1.8,15,66,234,11.9,42.7,0.7,16.2,36,279,11.3,49.2
0.124515011,0.100622688,0.015689901,0.066814923,0.033489133,1,-1067.930875,1580.692407,-489.7474458,1773.978036,1.8,15,66,234,11.9,42.7,-1.8,14.7,49,222,11.3,50.8
0.142546268,0.142340195,0.046498931,0.006721365,0.156171082,1,-1067.930875,1580.692407,-1067.325553,1459.492846,1.8,15,66,234,11.9,42.7,2.4,15.6,62,206,11.7,43.3
0.145736794,0.135671033,0.014105469,0.158610677,0.030042175,1,-1067.930875,1580.692407,-534.9494546,2153.127533,1.8,15,66,234,11.9,42.7,-4.5,13.4,48,180,10.9,53.7
0.185561312,0.19473325,0.052247364,0.186837043,0.07808566,1,-1067.930875,1580.692407,-2101.183665,2731.513395,1.8,15,66,234,11.9,42.7,-3.4,9.3,35,109,11,41
0.166419292,0.149268767,0.013143103,0.03975252,0.05188395,1,-1067.930875,1580.692407,-445.8753816,1947.907655,1.8,15,66,234,11.9,42.7,-3.3,13.7,48,222,10.1,50.1
