sample,country,countryspecies,population,latwgs84,lonwgs84,latetrs89,lonetrs89
ES_FS_01_06,ES,ES_FS,ES_FS_01,42.6706,-0.12281,2229736.72,3491415.759
ES_FS_01_07,ES,ES_FS,ES_FS_01,42.67096,-0.12284,2229776.651,3491418.321
ES_FS_01_08,ES,ES_FS,ES_FS_01,42.67128,-0.1226,2229809.203,3491442.302
ES_FS_01_09,ES,ES_FS,ES_FS_01,42.67151,-0.12271,2229835.717,3491436.546
ES_FS_01_10,ES,ES_FS,ES_FS_01,42.67187,-0.12272,2229875.428,3491440.736
ES_FS_01_11,ES,ES_FS,ES_FS_01,42.67268,-0.12308,2229968.501,3491422.695
ES_FS_01_12,ES,ES_FS,ES_FS_01,42.67301,-0.1231,2230005.022,3491425.655
ES_FS_01_13,ES,ES_FS,ES_FS_01,42.67349,-0.12331,2230060.14,3491415.235
ES_FS_01_14,ES,ES_FS,ES_FS_01,42.6738,-0.12315,2230092.474,3491432.566
ES_FS_01_15,ES,ES_FS,ES_FS_01,42.67443,-0.12305,2230160.672,3491449.462
ES_FS_01_16,ES,ES_FS,ES_FS_01,42.67492,-0.12322,2230216.448,3491442.437
ES_FS_01_17,ES,ES_FS,ES_FS_01,42.67451,-0.12375,2230177.196,3491393.605
ES_FS_01_18,ES,ES_FS,ES_FS_01,42.67522,-0.12346,2230252.097,3491427.076
ES_FS_01_19,ES,ES_FS,ES_FS_01,42.67556,-0.12278,2230281.994,3491487.142
ES_FS_01_20,ES,ES_FS,ES_FS_01,42.67591,-0.12266,2230319.17,3491501.773
ES_FS_01_21,ES,ES_FS,ES_FS_01,42.67625,-0.12267,2230356.681,3491505.685
ES_FS_01_22,ES,ES_FS,ES_FS_01,42.67665,-0.12245,2230398.254,3491529.149
ES_FS_01_23,ES,ES_FS,ES_FS_01,42.67682,-0.12256,2230418.168,3491522.56
ES_FS_01_24,ES,ES_FS,ES_FS_01,42.67726,-0.12242,2230465.023,3491540.069
ES_FS_01_25,ES,ES_FS,ES_FS_01,42.67763,-0.12236,2230505.062,3491550.095
ES_FS_02_01,ES,ES_FS,ES_FS_02,42.71552,-0.12756,2234730.43,3491653.969
ES_FS_02_02,ES,ES_FS,ES_FS_02,42.71516,-0.12735,2234688.512,3491666.039
ES_FS_02_03,ES,ES_FS,ES_FS_02,42.71472,-0.12707,2234637.021,3491682.69
ES_FS_02_04,ES,ES_FS,ES_FS_02,42.71412,-0.12709,2234571.239,3491672.716
ES_FS_02_05,ES,ES_FS,ES_FS_02,42.71389,-0.1267,2234541.636,3491701.234
ES_FS_02_06,ES,ES_FS,ES_FS_02,42.71331,-0.1268,2234478.937,3491685.033
ES_FS_02_07,ES,ES_FS,ES_FS_02,42.71291,-0.1267,2234433.832,3491687.601
ES_FS_02_08,ES,ES_FS,ES_FS_02,42.71258,-0.12645,2234394.773,3491703.343
ES_FS_02_09,ES,ES_FS,ES_FS_02,42.71041,-0.12636,2234155.072,3491680.476
ES_FS_02_10,ES,ES_FS,ES_FS_02,42.71186,-0.12612,2234311.93,3491720.167
ES_FS_02_11,ES,ES_FS,ES_FS_02,42.71163,-0.12581,2234283.209,3491742.181
ES_FS_02_12,ES,ES_FS,ES_FS_02,42.71111,-0.12558,2234223.469,3491753.654
ES_FS_02_13,ES,ES_FS,ES_FS_02,42.71045,-0.12577,2234152.963,3491729.02
ES_FS_02_14,ES,ES_FS,ES_FS_02,42.71017,-0.12577,2234122.162,3491725.125
ES_FS_02_15,ES,ES_FS,ES_FS_02,42.70978,-0.12591,2234080.806,3491708.314
ES_FS_02_16,ES,ES_FS,ES_FS_02,42.71217,-0.12664,2234351.768,3491682.186
ES_FS_02_17,ES,ES_FS,ES_FS_02,42.713,-0.12713,2234448.477,3491653.881
ES_FS_02_18,ES,ES_FS,ES_FS_02,42.71329,-0.12733,2234482.585,3491641.649
ES_FS_02_19,ES,ES_FS,ES_FS_02,42.71351,-0.12731,2234506.565,3491646.336
ES_FS_02_20,ES,ES_FS,ES_FS_02,42.71367,-0.1275,2234526.262,3491633.11
ES_FS_02_21,ES,ES_FS,ES_FS_02,42.7145,-0.12762,2234618.889,3491634.898
ES_FS_02_22,ES,ES_FS,ES_FS_02,42.7151,-0.12776,2234686.435,3491631.86
ES_FS_02_23,ES,ES_FS,ES_FS_02,42.71604,-0.12806,2234793.149,3491620.541
ES_FS_02_24,ES,ES_FS,ES_FS_02,42.71685,-0.12949,2234898.031,3491515.515
ES_FS_02_25,ES,ES_FS,ES_FS_02,42.71671,-0.12902,2234877.444,3491551.79
FR_FS_03_01,FR,FR_FS,FR_FS_03,44.18539,5.23456,2353831.524,3939436.658
FR_FS_03_02,FR,FR_FS,FR_FS_03,44.18517,5.23422,2353808.901,3939408.009
FR_FS_03_03,FR,FR_FS,FR_FS_03,44.18508,5.23468,2353796.594,3939444.183
FR_FS_03_04,FR,FR_FS,FR_FS_03,44.18515,5.23502,2353802.61,3939471.832
FR_FS_03_05,FR,FR_FS,FR_FS_03,44.18538,5.23501,2353828.124,3939472.567
FR_FS_03_06,FR,FR_FS,FR_FS_03,44.18489,5.23445,2353776.732,3939424.528
FR_FS_03_07,FR,FR_FS,FR_FS_03,44.18477,5.2348,2353761.664,3939451.708
FR_FS_03_08,FR,FR_FS,FR_FS_03,44.18482,5.2352,2353765.161,3939484.021
