sample;country;countryspecies;population;latwgs84;lonwgs84;latetrs89;lonetrs89;Bio01;Bio02;Bio03;Bio04;Bio05;Bio06;Bio07;Bio08;Bio09;Bio10;Bio11;Bio12;Bio13;Bio14;Bio15;Bio16;Bio17;Bio18;Bio19;gmted;pH.top;pH.dee
AT_FS_13_21;AT;AT_FS;AT_FS_13;46.49729;14.06767;2606777.963;4633409.568;5.5095541962701;8.7;30.5944667414223;711.583503502389;19.3871692945393;-8.95990208564569;28.3470713801851;10.8610665171554;-2.4802645643685;14.5802197370321;-3.82854520339972;1965.5598855389;207.980168269674;77.9744041184691;28.4059473387445;622.080602506417;279.980908886285;601.191200815255;311.067783975157;1217.70258811911;5.04853771176328;5.27620206655206
AT_FS_13_22;AT;AT_FS;AT_FS_13;46.49744;14.06845;2606797.881;4633468.528;5.58578877853873;8.7;30.5532235048153;712.604889290162;19.4701476586755;-8.91322317625611;28.3833708349317;10.9435529903694;-2.41388187305956;14.6645062102532;-3.77695818491084;1960.69239947795;207.494281830797;77.7653900810688;28.4050954478207;620.586918317005;279.30620408285;599.778096080767;310.269887825708;1205.20350913531;5.05449294873492;5.27766927256979
AT_FS_13_23;AT;AT_FS;AT_FS_13;46.49754;14.06862;2606809.687;4633480.984;5.60847389132171;8.7;30.541525367165;712.910133431352;19.4946150964952;-8.89987155105489;28.3944866475501;10.9669492656699;-2.39430792280383;14.6891024855586;-3.76107772221421;1958.8290070387;207.32145254185;77.6798691554591;28.4079842853177;620.03355975014;279.034147355782;599.252773326589;309.949044123355;1201.52823996294;5.05522898718273;5.27769018699187
AT_FS_13_24;AT;AT_FS;AT_FS_13;46.4976;14.06878;2606817.015;4633492.907;5.62597387966975;8.7;30.53230537344;713.145593281712;19.5135150830455;-8.8895115600303;28.4030266430758;10.9853892531201;-2.37918793356361;14.7082624730116;-3.74901773028118;1957.50928744641;207.195752587334;77.6207091714538;28.4092042862241;619.636859879303;278.845387414541;598.876853451326;309.725844187387;1198.6828419443;5.05629573573759;5.27792613411658
AT_FS_13_25;AT;AT_FS;AT_FS_13;46.49858;14.06844;2606924.281;4633461.086;5.70153072854598;8.7;30.5003901471571;714.1702451098;19.5932191394112;-8.84933552250494;28.4425546619162;11.0492197056859;-2.315424688471;14.7838529256245;-3.68943529641471;1946.65525689171;206.311078793237;77.0709843019994;28.4562106826756;616.587827325324;277.124289561053;595.960948916562;307.711024710306;1186.89177763961;5.04478420207959;5.2726548870312
AT_FS_14_01;AT;AT_FS;AT_FS_14;46.58452;14.27019;2617325.057;4648408.316;9.82356364409352;9.1;29.3782013587895;768.636931121774;24.4894768681572;-6.43630557294577;30.9257824411029;19.3894768681571;1.4235636440935;19.3894768681571;-0.532321773053394;1236.30557715891;145.025775682804;45.5336711334602;30.5037836792153;414.824854577954;174.668034333374;414.824854577954;181.530817793026;488.855845887604;5.68596724392179;5.69598025132359
AT_FS_14_02;AT;AT_FS;AT_FS_14;46.58458;14.26995;2617330.653;4648389.568;9.81420364405624;9.1;29.3816039125067;768.528025584305;24.4808368681228;-6.44350557297446;30.9243424410973;19.3808368681228;1.41420364405623;19.3808368681228;-0.537559219370536;1236.96545799672;145.107205468314;45.5504285798227;30.5088236792357;415.044269041791;174.743704118859;415.044269041791;181.612967578537;490.276918208071;5.68436992224728;5.69388578909085
AT_FS_14_03;AT;AT_FS;AT_FS_14;46.58462;14.2693;2617332.224;4648339.548;9.78444364393709;9.1;29.3937215792663;768.145248915661;24.4515568680056;-6.4659455730643;30.9175024410699;19.3515568680056;1.38444364393707;19.3515568680056;-0.554721552728144;1239.17569033753;145.363174802494;45.616430913376;30.5180636792726;415.744732377485;175.019353453119;415.744732377485;181.916456912908;494.906634891045;5.68422407002765;5.69119237213416
AT_FS_14_04;AT;AT_FS;AT_FS_14;46.58462;14.26912;2617331.43;4648325.764;9.7758036439025;9.1;29.3973312249206;768.031392458806;24.442916867971;-6.47242557309024;30.9153424410612;19.342916867971;1.37580364390249;19.342916867971;-0.559751907108402;1239.8262713253;145.437296220232;45.6365812678168;30.5202236792812;415.948395921901;175.102114870891;415.948395921901;182.007858330714;496.259752614465;5.68454830406074;5.69069817562837
AT_FS_14_05;AT;AT_FS;AT_FS_14;46.58473;14.26905;2617343.321;4648319.727;9.77640364390491;9.1;29.3963553328923;768.063711379179;24.4448368679787;-6.47230557308975;30.9171424410684;19.3448368679787;1.3764036439049;19.3448368679787;-0.558807799129001;1239.69236397752;145.433399788313;45.6256771597976;30.5250236793004;415.929954842071;175.06989843886;415.929954842071;181.96976189866;496.073347214936;5.68127865169362;5.68830499900791
